epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.3511,0.77517,2.48036,1.23881,0.00578,1,0.98414,0.65634,0.31805,2.71916,1.00743,8e-05,8e-05,8e-05
2,32.5482,0.50504,1.81293,1.03653,0.00578,1,0.86063,0.7776,0.3283,2.55486,0.97746,0.00017109,0.00017109,0.00017109
3,48.1507,0.52162,1.16182,1.02576,0.79083,0.96154,0.89857,0.76844,0.49057,2.47016,1.05002,0.00025228,0.00025228,0.00025228
4,63.6317,0.47941,0.9278,0.99473,0.9755,0.71154,0.93748,0.82129,0.50688,2.18459,1.11508,0.00032357,0.00032357,0.00032357
5,78.5531,0.52363,0.89215,0.9892,0.59468,0.48077,0.57003,0.27586,1.07814,2.75447,1.50582,0.00038496,0.00038496,0.00038496
6,93.1315,0.52204,0.94007,1.01903,0.83604,0.68648,0.79733,0.64145,0.6045,2.14297,1.1811,0.00043645,0.00043645,0.00043645
7,107.966,0.4419,0.81751,0.97431,0.9854,0.86538,0.95054,0.81819,0.54083,1.43966,1.18208,0.00047804,0.00047804,0.00047804
8,122.848,0.45398,0.77977,0.99179,0.97791,0.88462,0.96388,0.83386,0.48254,1.60276,1.12662,0.00050973,0.00050973,0.00050973
9,137.659,0.43973,0.81277,0.99708,1,0.90149,0.98221,0.82645,0.49935,1.52845,1.10405,0.00053152,0.00053152,0.00053152
10,152.208,0.52176,0.79954,1.00418,0.95267,0.88462,0.96734,0.77118,0.63944,1.60979,1.19344,0.00054341,0.00054341,0.00054341
11,166.973,0.48026,1.18419,1.06598,1,0.86392,0.97358,0.78551,0.61288,1.76768,1.16563,0.0005454,0.0005454,0.0005454
12,181.75,0.41608,1.0918,1.0284,1,0.9024,0.98351,0.84692,0.51188,1.58653,1.04421,0.00053749,0.00053749,0.00053749
13,196.868,0.36155,1.01939,0.91913,0.99087,0.90385,0.98385,0.88772,0.4698,1.42251,1.01183,0.00051968,0.00051968,0.00051968
14,212.116,0.38561,0.9465,0.94114,0.94025,0.908,0.97059,0.88252,0.45961,1.38659,1.00162,0.00049197,0.00049197,0.00049197
15,227.684,0.39459,0.90545,0.98711,0.96263,0.90385,0.98054,0.88489,0.42241,1.24067,0.9811,0.00045436,0.00045436,0.00045436
16,243.342,0.30628,0.85919,0.90198,0.9722,0.92308,0.98303,0.89111,0.41171,1.19409,0.96311,0.00040685,0.00040685,0.00040685
17,259.091,0.30233,0.85717,0.92379,0.98037,0.96044,0.99144,0.91627,0.35372,1.03842,0.91778,0.00034944,0.00034944,0.00034944
18,275.146,0.29809,0.79492,0.87937,0.98038,0.96104,0.99235,0.93475,0.35746,0.98548,0.92787,0.00028213,0.00028213,0.00028213
19,291.775,0.2845,0.75436,0.85114,0.96541,0.98077,0.99348,0.93193,0.35807,0.94301,0.94325,0.00020492,0.00020492,0.00020492
20,309.2,0.26423,0.7956,0.86676,0.97355,1,0.9933,0.95655,0.32002,0.88746,0.91312,0.00011781,0.00011781,0.00011781
